survey_id,issue_question_id,original_question_id,policy_domain,policy_domain_label,issue_label,question_wording,question_wording_original,question_coding,question_recoded,fallback_variable,fallback_recoded,rule_kind,recode_type
2004.dta,bri_econ_013,ces04_cps_f6,econ,Economy and Taxation,How much to reduce rich-poor gap,How much should be done to reduce the gap between the rich and the poor in Canada?,How much should be done to reduce the gap between the rich and the poor in Canada?,"""1"" = ""much more"", ""2"" = ""somewhat more"", ""3"" = ""about the same as now"", ""4"" = ""somewhat less"", ""5"" = ""much less"", ""8"" = ""don't know"", ""9"" = ""refused""",1=1; 2=1; 3=0; 4=-1; 5=-1; 8=9999; 9=NA  [-1/0/1],,,value_map,-1/0/1/9999/NA
2006.dta,bri_econ_013,ces06_cps_f6,econ,Economy and Taxation,How much to reduce rich-poor gap,How much should be done to reduce the gap between the rich and the poor in Canada?,How much should be done to reduce the gap between the rich and the poor in Canada?,"""1"" = ""much more"", ""2"" = ""somewhat more"", ""3"" = ""about the same as now"", ""4"" = ""somewhat less"", ""5"" = ""much less"", ""8"" = ""don't know"", ""9"" = ""refused""",1=1; 2=1; 3=0; 4=-1; 5=-1; 8=9999; 9=NA  [-1/0/1],,,value_map,-1/0/1/9999/NA
2008.dta,bri_econ_013,ces08_pes_f6,econ,Economy and Taxation,How much to reduce rich-poor gap,How much should be done to reduce the gap between the rich and the poor in Canada?,How much should be done to reduce the gap between the rich and the poor in Canada?,"""1"" = ""much more"", ""2"" = ""somewhat more"", ""3"" = ""about the same as now"", ""4"" = ""somewhat less"", ""5"" = ""much less"", ""8"" = ""don't know"", ""9"" = ""refused""",1=1; 2=1; 3=0; 4=-1; 5=-1; 8=9999; 9=NA  [-1/0/1],,,value_map,-1/0/1/9999/NA
2011.dta,bri_econ_013,PES11_41,econ,Economy and Taxation,How much to reduce rich-poor gap,How much should be done to reduce the gap between the rich and the poor in Canada?,How much should be done to reduce the gap between the rich and the poor in Canada?,"""1"" = ""Much more"", ""2"" = ""Somewhat more"", ""3"" = ""About the same as now"", ""4"" = ""Somewhat less"", ""5"" = ""Much less"", ""7"" = ""R volunteers: Everyone should be treated the same"", ""8"" = ""Don't know"", ""9"" = ""Refused""",1:2=1; 3=0; 4:5=-1; 7=9999; 8=9999; 9=NA  [-1/0/1],,,value_map,-1/0/1/9999/NA
2015.dta,bri_econ_013,p_gap,econ,Economy and Taxation,How much to reduce rich-poor gap,How much should be done to reduce the gap between the rich and the poor in Canada?,How much should be done to reduce the gap between the rich and the poor in Canada?,"""1"" = ""Much more"", ""2"" = ""Somewhat more"", ""3"" = ""About the same as now"", ""4"" = ""Somewhat less"", ""5"" = ""Much less"", ""7"" = ""R volunteers everyone should be treated the same"", ""8"" = ""Don't know"", ""9"" = ""Refused""",1:2=1; 3=0; 4:5=-1; 7=9999; 8=9999; 9=NA; 1000=NA  [-1/0/1],,,value_map,-1/0/1/9999/NA
2019.dta,bri_econ_013,pes19_gap,econ,Economy and Taxation,How much to reduce rich-poor gap,How much should be done to reduce the gap between the rich and the poor in Canada?,How much should be done to reduce the gap between the rich and the poor in Canada?,"""1"" = ""Much more"", ""2"" = ""Somewhat more"", ""3"" = ""About the same as now"", ""4"" = ""Somewhat less"", ""5"" = ""Much less"", ""6"" = ""Don't know/ Prefer not to answer""",1:2=1; 3=0; 4:5=-1; 6=9999  [-1/0/1],,,value_map,-1/0/1/9999
2021.dta,bri_econ_013,pes21_gap,econ,Economy and Taxation,How much to reduce rich-poor gap,How much should be done to reduce the gap between the rich and the poor in Canada?,How much should be done to reduce the gap between the rich and the poor in Canada?,"""1"" = ""Much more"", ""2"" = ""Somewhat more"", ""3"" = ""About the same as now"", ""4"" = ""Somewhat less"", ""5"" = ""Much less"", ""6"" = ""Don't know/ Prefer not to answer""",1:2=1; 3=0; 4:5=-1; 6=9999  [-1/0/1],,,value_map,-1/0/1/9999
bridge_clean.csv,bri_econ_013,core_econ_02,econ,Economy and Taxation,How much to reduce rich-poor gap,How much should be done to reduce the gap between the rich and the poor in Canada?,How much should be done to reduce the gap between the rich and the poor in Canada?,"""1"" = ""Much more"", ""2"" = ""Somewhat more"", ""3"" = ""About the same as now"", ""4"" = ""Somewhat less"", ""5"" = ""Much less"", ""9999"" = ""Don't know""",1:2=1; 3=0; 4:5=-1; 9999=9999  [-1/0/1],,,value_map,-1/0/1/9999
cora-efc1986-E-1986-1_F1.dta,bri_econ_008,q9,econ,Economy and Taxation,Income tax system unfair,"In your opinion, is the current system of income taxation fair or unfair for the average taxpayer?","In your opinion, is the current system of income taxation fair or unfair for the average taxpayer?","""1"" = ""fair"", ""2"" = ""unfair"", ""9"" = ""don't know""",0=NA; 1=0; 2=1; 9=9999  [0=fair go to q63/1=unfair go to q62],,,value_map,0/1/9999/NA
cora-efc1987-E-1987-2_F1.dta,bri_econ_008,q53,econ,Economy and Taxation,Income tax system unfair,"In your opinion, is the current system of income taxation fair or unfair for the average taxpayer?","In your opinion, is the current system of income taxation fair or unfair for the average taxpayer?","""1"" = ""fair"", ""2"" = ""unfair"", ""3"" = ""dk/na""",1=0; 2=1; 3=9999  [0=fair go to q63/1=unfair go to q62],,,value_map,0/1/9999
cora-efc1988-E-1988-3_F1.dta,bri_econ_008,q77,econ,Economy and Taxation,Income tax system unfair,"In your opinion, is the current system of income taxation fair or unfair for the average taxpayer?","In your opinion, is the current system of income taxation fair or unfair for the average taxpayer?","""1"" = ""Fair"", ""2"" = ""Unfair"", ""3"" = ""DK/NA""",1=0; 2=1; 3=9999  [0=fair go to q63/1=unfair go to q62],,,value_map,0/1/9999
cora-efc1989-E-1989-4_F1.dta,bri_econ_008,q54,econ,Economy and Taxation,Income tax system unfair,"In your opinion, is the current system of income taxation fair or unfair for the average taxpayer?","In your opinion, is the current system of income taxation fair or unfair for the average taxpayer?","""1"" = ""Fair"", ""2"" = ""Unfair"", ""3"" = ""DK/NA""",1=0; 2=1; 3=9999  [0=fair go to q63/1=unfair go to q62],,,value_map,0/1/9999
cora-efc1990-E-1990-4_F1.dta,bri_econ_008,q27,econ,Economy and Taxation,Income tax system unfair,"In your opinion, is the current system of income taxation fair or unfair for the average taxpayer?","In your opinion, is the current system of income taxation fair or unfair for the average taxpayer?","""1"" = ""fair"", ""2"" = ""unfair"", ""3"" = ""DK/NA""",1=0; 2=1; 3=9999  [0=fair go to q63/1=unfair go to q62],,,value_map,0/1/9999
cora-efc1991-E-1991-4_F1.dta,bri_econ_008,q43a,econ,Economy and Taxation,Income tax system unfair,"In your opinion, is the current system of income taxation fair or unfair for the average taxpayer?","In your opinion, is the current system of income taxation fair or unfair for the average taxpayer?","""1"" = ""Fair"", ""2"" = ""Unfair"", ""3"" = ""Don't know/no answer""",1=0; 2=1; 3=9999  [0=fair go to q63/1=unfair go to q62],,,value_map,0/1/9999
cora-efc1992-E-1992-4_F1.dta,bri_econ_008,q70,econ,Economy and Taxation,Income tax system unfair,"In your opinion, is the current system of income taxation fair or unfair for the average taxpayer?","In your opinion, is the current system of income taxation fair or unfair for the average taxpayer?","""1"" = ""fair"", ""2"" = ""unfair"", ""3"" = ""DK/NA""",1=0; 2=1; 3=9999  [0=fair go to q63/1=unfair go to q62],,,value_map,0/1/9999
cora-efc1993-E-1993-4_F1.dta,bri_econ_008,q37,econ,Economy and Taxation,Income tax system unfair,"In your opinion, is the current system of income taxation fair or unfair for the average taxpayer?","In your opinion, is the current system of income taxation fair or unfair for the average taxpayer?","""1"" = ""Fair"", ""2"" = ""Unfair"", ""3"" = ""DK/NA""",1=0; 2=1; 3=9999  [0=fair go to q63/1=unfair go to q62],,,value_map,0/1/9999
cora-efc1994-E-1994-4_F1.dta,bri_econ_008,q27,econ,Economy and Taxation,Income tax system unfair,"In your opinion, is the current system of income taxation fair or unfair for the average taxpayer?","In your opinion, is the current system of income taxation fair or unfair for the average taxpayer?","""1"" = ""Fair"", ""2"" = ""Unfair"", ""3"" = ""DK/NA""",1=0; 2=1; 3=9999  [0=fair go to q63/1=unfair go to q62],,,value_map,0/1/9999
cora-efc1995-E-1995-4_F1.dta,bri_econ_008,q61,econ,Economy and Taxation,Income tax system unfair,"In your opinion, is the current system of income taxation fair or unfair for the average taxpayer?","In your opinion, is the current system of income taxation fair or unfair for the average taxpayer?","""1"" = ""Fair GO TO Q63"", ""2"" = ""Unfair GO TO Q62"", ""3"" = ""DK/NA GO TO Q63""",1=0; 2=1; 3=9999  [0=fair go to q63/1=unfair go to q62],,,value_map,0/1/9999
bridge_clean.csv,bri_econ_008,addt_econ_04,econ,Economy and Taxation,Income tax system unfair,"In your opinion, is the current system of income taxation fair or unfair for the average taxpayer?","In your opinion, is the current system of income taxation fair or unfair for the average taxpayer?","""1"" = ""Fair"", ""2"" = ""Unfair"", ""9999"" = ""Don't know""",1=0; 2=1; 9999=9999  [0/1],,,value_map,0/1/9999
1993.dta,bri_econ_010,mbsb4,econ,Economy and Taxation,Decent living vs get ahead on own,"Should the government see to it that everyone has a decent standard of living, or leave people to get ahead on their own?",The government should: See to it that everyone has a decent standard of living or leave people to get ahead on their own.,"""1"" = ""see everyone has"", ""2"" = ""getahead on own"", ""8"" = ""undecided""",1=1; 2=0; 8=9999  [0/1],,,value_map,0/1/9999
1997.dta,bri_econ_010,mbsb1,econ,Economy and Taxation,Decent living vs get ahead on own,"Should the government see to it that everyone has a decent standard of living, or leave people to get ahead on their own?",The government should: See to it that everyone has a decent standard of living or leave people to get ahead on their own.,"""1"" = ""see everyone has"", ""2"" = ""getahead on own"", ""8"" = ""not sure""",1=1; 2=0; 8=9999  [0/1],,,value_map,0/1/9999
2000.dta,bri_econ_010,mbsb1,econ,Economy and Taxation,Decent living vs get ahead on own,"Should the government see to it that everyone has a decent standard of living, or leave people to get ahead on their own?",The government should: See to it that everyone has a decent standard of living or leave people to get ahead on their own.,"""1"" = ""see to it that everyone has a decent standard of living"", ""2"" = ""leave people to get ahead on their own"", ""8"" = ""not sure/both (with & without qualification)""",1=1; 2=0; 8=9999  [0/1],,,value_map,0/1/9999
2008.dta,bri_econ_010,ces08_mbs_b1,econ,Economy and Taxation,Decent living vs get ahead on own,"Should the government see to it that everyone has a decent standard of living, or leave people to get ahead on their own?",The government should: See to it that everyone has a decent standard of living or leave people to get ahead on their own.,"""-9"" = ""left blank"", ""1"" = ""see to it that everyone has a decent standard of living"", ""2"" = ""leave people to get ahead on their own"", ""8"" = ""not sure/both""",-9=NA; 1=1; 2=0; 8=9999  [0/1],,,value_map,0/1/9999/NA
2004.dta,bri_econ_010,ces04_mbs_b1,econ,Economy and Taxation,Decent living vs get ahead on own,"Should the government see to it that everyone has a decent standard of living, or leave people to get ahead on their own?",The government should: See to it that everyone has a decent standard of living or leave people to get ahead on their own.,"""-9"" = ""mbs: question not answered"", ""1"" = ""see to it that everyone has a decent standard of living"", ""2"" = ""leave people to get ahead on their own"", ""8"" = ""not sure/both""",-9=NA; 1=1; 2=0; 8=9999  [0/1],,,value_map,0/1/9999/NA
2011.dta,bri_econ_010,MBS11_B3,econ,Economy and Taxation,Decent living vs get ahead on own,"Should the government see to it that everyone has a decent standard of living, or leave people to get ahead on their own?",The government should: See to it that everyone has a decent standard of living or leave people to get ahead on their own.,"""-9"" = ""left blank"", ""1"" = ""See to it that everyone has a decent standard of living"", ""2"" = ""Leave people to get ahead on their own"", ""8"" = ""Not sure""",-9=NA; 1=1; 2=0; 8=9999  [0/1],,,value_map,0/1/9999/NA
2019.dta,bri_econ_010,pes19_stdofliving,econ,Economy and Taxation,Decent living vs get ahead on own,"Should the government see to it that everyone has a decent standard of living, or leave people to get ahead on their own?",The government should: See to it that everyone has a decent standard of living or leave people to get ahead on their own.,"""1"" = ""See to it that everyone has a decent standard of living"", ""2"" = ""Leave people to get ahead on their own"", ""3"" = ""Don't know/ Prefer not to answer""",1=1; 2=0; 3=9999  [0/1],,,value_map,0/1/9999
2021.dta,bri_econ_010,pes21_stdofliving,econ,Economy and Taxation,Decent living vs get ahead on own,"Should the government see to it that everyone has a decent standard of living, or leave people to get ahead on their own?",The government should: See to it that everyone has a decent standard of living or leave people to get ahead on their own.,"""1"" = ""See to it that everyone has a decent standard of living"", ""2"" = ""Leave people to get ahead on their own"", ""3"" = ""Don't know/ Prefer not to answer""",1=1; 2=0; 3=9999  [0/1],,,value_map,0/1/9999
bridge_clean.csv,bri_econ_010,addt_econ_03,econ,Economy and Taxation,Decent living vs get ahead on own,"Should the government see to it that everyone has a decent standard of living, or leave people to get ahead on their own?",The government should: See to it that everyone has a decent standard of living / Leave people to get ahead on their own,"""1"" = ""See to it that everyone has a decent standard of living"", ""2"" = ""Leave people to get ahead on their own"", ""9999"" = ""Don't know""",1=1; 2=0; 9999=9999  [0/1],,,value_map,0/1/9999
bridge_clean.csv,bri_econ_005,core_econ_04,econ,Economy and Taxation,Cdn corps should invest in Canada,Canadian corporations should have a substantial proportion of their investments in Canada even if they would make more money elsewhere.,Canadian corporations should have a substantial proportion of their investments in Canada even if they would make more money elsewhere.,"""1"" = ""Strongly agree"", ""2"" = ""Somewhat agree"", ""3"" = ""Somewhat disagree"", ""4"" = ""Strongly disagree"", ""9999"" = ""Don't know""",1:2=1; 3:4=0; 9999=9999  [0/1],,,value_map,0/1/9999
1993.dta,bri_econ_011,pese15,econ,Economy and Taxation,Leave job creation to private sector,The government should leave it entirely to the private sector to create jobs.,The government should leave it ENTIRELY to the private sector to create jobs.,"""1"" = ""strongly agree"", ""3"" = ""somewhat agree"", ""5"" = ""somewhatdisagree"", ""7"" = ""stronglydisagree"", ""8"" = ""d.k."", ""9"" = ""refused""",1=1; 3=1; 5=0; 7=0; 8=9999; 9=NA  [0/1],,,value_map,0/1/9999/NA
1997.dta,bri_econ_011,cpsf6,econ,Economy and Taxation,Leave job creation to private sector,The government should leave it entirely to the private sector to create jobs.,The government should leave it ENTIRELY to the private sector to create jobs.,"""1"" = ""strongly agree"", ""3"" = ""somewhat agree"", ""5"" = ""somewhatdisagree"", ""7"" = ""stronglydisagree"", ""8"" = ""d.k."", ""9"" = ""refused""",1=1; 3=1; 5=0; 7=0; 8=9999; 9=NA  [0/1],,,value_map,0/1/9999/NA
2000.dta,bri_econ_011,cpsf6,econ,Economy and Taxation,Leave job creation to private sector,The government should leave it entirely to the private sector to create jobs.,The government should leave it ENTIRELY to the private sector to create jobs.,"""1"" = ""strongly agree"", ""3"" = ""somewhat agree"", ""5"" = ""somewhat disagree"", ""7"" = ""strongly disagree"", ""8"" = ""don't know"", ""9"" = ""refused""",1=1; 3=1; 5=0; 7=0; 8=9999; 9=NA  [0/1],,,value_map,0/1/9999/NA
2004.dta,bri_econ_011,ces04_cps_p11,econ,Economy and Taxation,Leave job creation to private sector,The government should leave it entirely to the private sector to create jobs.,The government should leave it ENTIRELY to the private sector to create jobs.,"""1"" = ""strongly agree"", ""3"" = ""somewhat agree"", ""5"" = ""somewhat disagree"", ""7"" = ""strongly disagree"", ""8"" = ""don't know"", ""9"" = ""refused""",1=1; 3=1; 5=0; 7=0; 8=9999; 9=NA  [0/1],,,value_map,0/1/9999/NA
2006.dta,bri_econ_011,ces06_cps_i2,econ,Economy and Taxation,Leave job creation to private sector,The government should leave it entirely to the private sector to create jobs.,The government should leave it ENTIRELY to the private sector to create jobs.,"""1"" = ""strongly agree"", ""3"" = ""somewhat agree"", ""5"" = ""somewhat disagree"", ""7"" = ""strongly disagree"", ""8"" = ""don't know"", ""9"" = ""refused""",1=1; 3=1; 5=0; 7=0; 8=9999; 9=NA  [0/1],,,value_map,0/1/9999/NA
2008.dta,bri_econ_011,ces08_pes_i2n,econ,Economy and Taxation,Leave job creation to private sector,The government should leave it entirely to the private sector to create jobs.,The government should leave it ENTIRELY to the private sector to create jobs.,"""1"" = ""strongly agree"", ""3"" = ""somewhat agree"", ""5"" = ""somewhat disagree"", ""7"" = ""strongly disagree"", ""8"" = ""don't know"", ""9"" = ""refused""",1=1; 3=1; 5=0; 7=0; 8=9999; 9=NA  [0/1],,,value_map,0/1/9999/NA
2011.dta,bri_econ_011,PES11_22,econ,Economy and Taxation,Leave job creation to private sector,The government should leave it entirely to the private sector to create jobs.,The government should leave it ENTIRELY to the private sector to create jobs.,"""1"" = ""Strongly agree"", ""3"" = ""Somewhat agree"", ""5"" = ""Somewhat disagree"", ""7"" = ""Strongly disagree"", ""8"" = ""Don't know"", ""9"" = ""Refused""",1:3=1; 5:7=0; 8=9999; 9=NA  [0/1],,,value_map,0/1/9999/NA
2015.dta,bri_econ_011,p_iss_priv,econ,Economy and Taxation,Leave job creation to private sector,The government should leave it entirely to the private sector to create jobs.,The government should leave it ENTIRELY to the private sector to create jobs.,"""1"" = ""Strongly agree"", ""3"" = ""Somewhat agree"", ""5"" = ""Somewhat disagree"", ""7"" = ""Strongly disagree"", ""8"" = ""Don't know"", ""9"" = ""Refused""",1:3=1; 5:7=0; 8=9999; 9=NA; 1000=NA  [0/1],,,value_map,0/1/9999/NA
bridge_clean.csv,bri_econ_011,addt_econ_01,econ,Economy and Taxation,Leave job creation to private sector,The government should leave it entirely to the private sector to create jobs.,The government should leave it entirely to the private sector to create jobs.,"""1"" = ""Strongly agree"", ""2"" = ""Somewhat agree"", ""3"" = ""Somewhat disagree"", ""4"" = ""Strongly disagree"", ""9999"" = ""Don't know""",1:2=1; 3:4=0; 9999=9999  [0/1],,,value_map,0/1/9999
cipo-007-2-E-1990-07_F1.sav,bri_econ_002,q12,econ,Economy and Taxation,Fed govt handling economy properly,Do you think the federal government is handling the country's economic situation properly?,Do you think the federal governments policies for tackling the country's economic situation gives you a feeling that they are or are not handling the situation properly?,"""1"" = ""ARE"", ""2"" = ""ARE NOT"", ""11"" = ""DONT KNOW"", ""12"" = ""NOT STATED"", ""99"" = ""BLANK""",1=1; 2=0; 11=9999; 12=9999; 99=9999  [0/1],,,value_map,0/1/9999
cipo-111-1-E-1991-11_F1.sav,bri_econ_002,q9b,econ,Economy and Taxation,Fed govt handling economy properly,Do you think the federal government is handling the country's economic situation properly?,Do the federal government's policies for tackling the country's economic situation give you a feeling that they are or are not handling the situation properly?,"""1"" = ""HANDLING PROPERLY"", ""2"" = ""NOT HANDLING PROPER"", ""3"" = ""DONT KNOW"", ""11"" = ""NOT STATED""",1=1; 2=0; 3=9999; 11=9999  [0/1],,,value_map,0/1/9999
cipo-186-E-1984-05_F1.sav,bri_econ_002,q3,econ,Economy and Taxation,Fed govt handling economy properly,Do you think the federal government is handling the country's economic situation properly?,DO YOU THINK THE FEDERAL GOVERNMENT'S POLICIES FOR TACKLING THE COUNTRY'S ECONOMIC SITUATION GIVES YOU A FEELING THAT THEY ARE OR ARE NOT HANDLING THE SITUATION PROPERLY?,"""1"" = ""YES"", ""2"" = ""NO"", ""3"" = ""DON'T KNOW"", ""4"" = ""NOT STATED""",1=1; 2=0; 3=9999; 4=9999  [0/1],,,value_map,0/1/9999
cipo-360-E-1973-07_F1.sav,bri_econ_002,q3,econ,Economy and Taxation,Fed govt handling economy properly,Do you think the federal government is handling the country's economic situation properly?,"DO YOU THINK THE FEDERAL GOVERNMENT'S POLICIES FOR TACKLING THE COUNTRY'S ECONOMIC SITUATION GIVE YOU A FEELING THAT THEY ARE, OR ARE NOT HANDLING THE SITUATION PROPERLY?","""0"" = ""NOT STATED"", ""1"" = ""HANDLING PROPERLY"", ""2"" = ""ARE NOT"", ""3"" = ""DON'T KNOW""",0=9999; 1=1; 2=0; 3=9999  [0/1],,,value_map,0/1/9999
cipo-378-E-1975-07_F1.sav,bri_econ_002,q7,econ,Economy and Taxation,Fed govt handling economy properly,Do you think the federal government is handling the country's economic situation properly?,DO THE GOVERNMENT'S POLICIES FOR TACKLING THE ECONOMIC SITUATION GIVE YOU A FEELING THAT THEY ARE OR ARE NOT HANDLING THE SITUATION PROPERLY?,"""1"" = ""YES"", ""2"" = ""NO"", ""3"" = ""DON'T KNOW""",1=1; 2=0; 3=9999  [0/1],,,value_map,0/1/9999
cipo-396-E-1977-01_F1.sav,bri_econ_002,q3,econ,Economy and Taxation,Fed govt handling economy properly,Do you think the federal government is handling the country's economic situation properly?,DO YOU THINK THE FEDERAL GOVERNMENT'S POLICIES FOR TACKLING THE COUNTRY'S ECONOMIC SITUATION GIVES YOU A FEELING THAT THEY ARE OR ARE NOT HANDLING THE SITUATION PROPERLY?,"""1"" = ""HANDLING PROPERLY"", ""2"" = ""NOT HANDLING PROPER."", ""3"" = ""DON'T KNOW"", ""4"" = ""NOT STATED""",1=1; 2=0; 3=9999; 4=9999  [0/1],,,value_map,0/1/9999
cipo-408-E-1978-01_F1.sav,bri_econ_002,q3,econ,Economy and Taxation,Fed govt handling economy properly,Do you think the federal government is handling the country's economic situation properly?,DO YOU THINK THE FEDERAL GOVERNMENT'S POLICIES FOR TACKLING THE COUNTRY'S ECONOMIC SITUATION GIVES YOU A FEELING THAT THEY ARE OR ARE NOT HANDLING THE SITUATION PROPERLY?,"""1"" = ""YES"", ""2"" = ""NO"", ""3"" = ""DON'T KNOW"", ""4"" = ""NOT STATED""",1=1; 2=0; 3=9999; 4=9999  [0/1],,,value_map,0/1/9999
cipo-420-E-1979-01_F1.sav,bri_econ_002,q3,econ,Economy and Taxation,Fed govt handling economy properly,Do you think the federal government is handling the country's economic situation properly?,DO YOU THINK THE FEDERAL GOVERNMENT'S POLICIES FOR TACKLING THE COUNTRY'S ECONOMIC SITUATION GIVES YOU A FEELING THAT THEY ARE OR ARE NOT HANDLING THE SITUATION PROPERLY?,"""1"" = ""HANDLING PROPERLY"", ""2"" = ""NOT PROPERLY HANDLED"", ""3"" = ""DON'T KNOW"", ""4"" = ""NOT STATED""",1=1; 2=0; 3=9999; 4=9999  [0/1],,,value_map,0/1/9999
cipo-439a-E-1980-06_F1.sav,bri_econ_002,q3,econ,Economy and Taxation,Fed govt handling economy properly,Do you think the federal government is handling the country's economic situation properly?,Do you think the Federal Government's policies for tackling the country's economic situation gives you a feeling that they are or are not handling the situation properly?,"""1"" = ""HANDLING PROPERLY"", ""2"" = ""NOT PROPERLY HANDLED"", ""3"" = ""DON'T KNOW"", ""4"" = ""NOT STATED""",1=1; 2=0; 3=9999; 4=9999  [0/1],,,value_map,0/1/9999
cipo-455-1-E-1980-02_F1.sav,bri_econ_002,q10,econ,Economy and Taxation,Fed govt handling economy properly,Do you think the federal government is handling the country's economic situation properly?,"DO YOU THINK THE FEDERAL GOVERNMENT'S POLICIES FOR TACKLING THE COUNTRY'S ECONOMIC SITUATION GIVES YOU A FEELING THAT THEY ARE, OR ARE NOT HANDLING THE SITUATION PROPERLY?","""1"" = ""YES PROPERLY"", ""2"" = ""NO NOT PROPERLY"", ""3"" = ""DON'T KNOW"", ""4"" = ""NOT STATED""",1=1; 2=0; 3=9999; 4=9999  [0/1],,,value_map,0/1/9999
